method,reflection_mask_pixels,outside_reflection_mask_pixels_in_iris_roi,changed_pixel_magnitude_inside_reflection_mask,changed_pixel_magnitude_outside_reflection_mask,laplacian_variance_inside_reflection_mask_before,laplacian_variance_inside_reflection_mask_after,edge_magnitude_inside_reflection_mask_before,edge_magnitude_inside_reflection_mask_after,laplacian_reduction_ratio,edge_reduction_ratio,selection_score,edge_delta_mean_inside_reflection_mask
reflection_lowfreq_blobify__kernel_51__alpha_0p75__highlight_0p15,18782,78262,11.483867645263672,1.0655065774917603,224.16436429521553,57.57258661470907,56.876601190467206,31.826847728064248,0.25683202053868054,0.5595771734229187,0.7337765681340644,4.81098924502183
reflection_lowfreq_blobify__kernel_51__alpha_0p75__highlight_0p25,18782,78262,13.061478614807129,1.3228565454483032,224.16436429521553,54.89388759196089,56.876601190467206,30.97771295067984,0.24488231108700145,0.544647751488214,0.7319642607646155,4.947236716004685
reflection_lowfreq_blobify__kernel_51__alpha_0p85__highlight_0p15,18782,78262,12.59925365447998,1.1651242971420288,224.16436429521553,47.31488407514605,56.876601190467206,29.18377364945332,0.21107228271499134,0.5131068495412251,0.6634570211652111,5.324672558832925
reflection_lowfreq_blobify__kernel_51__alpha_0p85__highlight_0p25,18782,78262,13.972304344177246,1.3996784687042236,224.16436429521553,45.57967483055306,56.876601190467206,28.51712162766428,0.20333149282606955,0.501385825291612,0.6662758480265358,5.409221595144287
reflection_lowfreq_blobify__kernel_61__alpha_0p75__highlight_0p15,18782,78262,12.068337440490723,1.1692785024642944,224.16436429521553,59.06416192848781,56.876601190467206,31.74698022612299,0.2634859564506991,0.5581729491853662,0.7477493010775988,4.752422532211692
reflection_lowfreq_blobify__kernel_61__alpha_0p75__highlight_0p25,18782,78262,13.567437171936035,1.414669394493103,224.16436429521553,56.307732896443106,56.876601190467206,30.929045096655553,0.25118949246673333,0.5437920770455498,0.7450174979580664,4.892609945692684
reflection_lowfreq_blobify__kernel_61__alpha_0p85__highlight_0p15,18782,78262,13.253202438354492,1.2813600301742554,224.16436429521553,48.61797301072431,56.876601190467206,29.061550704313778,0.21688537856399145,0.5109579351795838,0.6770647356036406,5.2623256309232245
reflection_lowfreq_blobify__kernel_61__alpha_0p85__highlight_0p25,18782,78262,14.551718711853027,1.5047292709350586,224.16436429521553,47.26318005599695,56.876601190467206,28.47193442629435,0.21084163044645768,0.5005913474145214,0.6816339153114273,5.3477797891598335
