method,reflection_mask_pixels,outside_reflection_mask_pixels_in_iris_roi,changed_pixel_magnitude_inside_reflection_mask,changed_pixel_magnitude_outside_reflection_mask,laplacian_variance_inside_reflection_mask_before,laplacian_variance_inside_reflection_mask_after,edge_magnitude_inside_reflection_mask_before,edge_magnitude_inside_reflection_mask_after
original,18782,78262,0.0,0.0,224.16436429521553,224.16436429521553,56.876601190467206,56.876601190467206
ellipse_subtle_blur_1.4_0.60,18782,78262,11.709025382995605,5.480796813964844,224.16436429521553,38.912262856292365,56.876601190467206,28.534336262500414
reflection_only_blur,18782,78262,12.312896728515625,0.9153149127960205,224.16436429521553,30.93277553548875,56.876601190467206,27.34777588378171
reflection_blobify,18782,78262,6.084568977355957,0.7745249271392822,224.16436429521553,122.17128889153518,56.876601190467206,44.0009609886742
reflection_lowfreq_blobify,18782,78262,15.105051040649414,1.7158602476119995,224.16436429521553,48.96688951604872,56.876601190467206,28.193134688008218
reflection_mask_inpaint_telea,18782,78262,16.603748321533203,0.014287417754530907,224.16436429521553,42.92444769884995,56.876601190467206,29.236259718764106
